Postcode,Borough,NTA
11101,Queens,Hunters Point-Sunnyside-West Maspeth
10023,Manhattan,Lincoln Square
10025,Manhattan,Upper West Side
10019,Manhattan,Midtown-Midtown South
10024,Manhattan,Upper West Side
10075,Manhattan,Upper East Side-Carnegie Hill
11201,Brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
11101,Queens,Hunters Point-Sunnyside-West Maspeth
10021,Manhattan,Upper East Side-Carnegie Hill
10036,Manhattan,Midtown-Midtown South
10009,Manhattan,East Village
10004,Manhattan,Battery Park City-Lower Manhattan
10012,Manhattan,West Village
10279,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy
10011,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square
10452,Brooklyn,
10036,Manhattan,Clinton
10036,Manhattan,Clinton
10024,Manhattan,
11106,Queens,Astoria
10001,Manhattan,Midtown-Midtown South
10032,Manhattan,
11217,Brooklyn,Fort Greene
10027,Manhattan,Morningside Heights
10018,Manhattan,Midtown-Midtown South
10025,Manhattan,
11215,Manhattan,
10023,Manhattan,Lincoln Square
10018,Manhattan,Midtown-Midtown South
10014,Manhattan,West Village
10036,Manhattan,Midtown-Midtown South
11217,Brooklyn,Fort Greene
10017,Manhattan,Turtle Bay-East Midtown
11215,Manhattan,
10065,Manhattan,Upper East Side-Carnegie Hill
10029,Manhattan,East Harlem South
10024,Manhattan,
10023,Manhattan,
10019,Manhattan,Clinton
10002,Manhattan,Chinatown
10128,Manhattan,Upper East Side-Carnegie Hill
10007,Manhattan,
10040,Manhattan,Washington Heights North
10003,Manhattan,East Village
10033,Manhattan,Washington Heights North
11367,Queens,Pomonok-Flushing Heights-Hillcrest
11218,Brooklyn,Windsor Terrace
10010,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square
10001,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square
10013,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy
10027,Manhattan,Central Harlem South
10012,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy
10003,Manhattan,West Village
11209,Brooklyn,Bay Ridge
11201,Brooklyn,Carroll Gardens-Columbia Street-Red Hook
11215,Brooklyn,Park Slope-Gowanus
10012,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy
10016,Manhattan,Murray Hill-Kips Bay
10128,Manhattan,East Harlem South
10013,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy
10451,Bronx,West Concourse
11222,Brooklyn,Greenpoint
10024-0540,Manhattan,
10013,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy
10010,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square
10019,Manhattan,Clinton
10012,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy
10036,Manhattan,Midtown-Midtown South
11201,Brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
10150,Bronx,
10001,Manhattan,Midtown-Midtown South
10013,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy
11106,Queens,Astoria
10463,Manhattan,
10301,Staten Island,West New Brighton-New Brighton-St. George
10009,Manhattan,Lower East Side
10003,Manhattan,West Village
11231,Manhattan,Battery Park City-Lower Manhattan
10001,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square
11372,Manhattan,Lower East Side
10113,Manhattan,
10001,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square
10019,Manhattan,Midtown-Midtown South
10004,Manhattan,Battery Park City-Lower Manhattan
11211,Queens,
10029,Manhattan,East Harlem South
11201,Brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
11209,Brooklyn,Bay Ridge
10023,Manhattan,Lincoln Square
11224,Brooklyn,West Brighton
10001,Manhattan,Midtown-Midtown South
10011-1154,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square
10001,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square
10027,Manhattan,Central Harlem North-Polo Grounds
11201,Queens,
10461,Bronx,Westchester-Unionport
11217,Brooklyn,Prospect Heights
10019,Manhattan,Clinton
10002,Manhattan,Lower East Side
11375,Queens,Forest Hills
11225,Queens,
10027,Manhattan,
11217,Bronx,
10002,Manhattan,Lower East Side
10026,Manhattan,Central Harlem South
10013,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy
10033,Manhattan,Washington Heights North
11201,Brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
11220,Brooklyn,Sunset Park West
10022,Manhattan,Midtown-Midtown South
11215,Brooklyn,Park Slope-Gowanus
11435,Manhattan,
11434,Queens,St. Albans
11377,Queens,Woodside
10018,Manhattan,Midtown-Midtown South
10011,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square
10011,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square
10027,Manhattan,Morningside Heights
11222,Manhattan,
10003,Manhattan,East Village
10003,Manhattan,West Village
10002,Manhattan,Lower East Side
11202,Manhattan,
10014,Manhattan,West Village
11216,Brooklyn,North Side-South Side
48203,Manhattan,
11233,Brooklyn,Crown Heights North
10011,Manhattan,West Village
11201,Brooklyn,Brooklyn Heights-Cobble Hill
10021,Manhattan,Upper East Side-Carnegie Hill
10013,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy
11201,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy
10013,Manhattan,Chinatown
11361,Queens,Bayside-Bayside Hills
11201,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy
11215,Brooklyn,Park Slope-Gowanus
10001,Manhattan,Midtown-Midtown South
10001,Manhattan,Midtown-Midtown South
10036,Manhattan,Midtown-Midtown South
11040,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
10010,Manhattan,Murray Hill-Kips Bay
10022,Manhattan,Turtle Bay-East Midtown
10108,Manhattan,
10454,Manhattan,
10029,Manhattan,East Harlem South
10013,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy
11105,Queens,Steinway
11106,Queens,Astoria
10027,Queens,
10032,Manhattan,Washington Heights South
11217,Brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
10011-5226,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square
10027,Manhattan,
10009,Manhattan,East Village
10003,Manhattan,East Village
11211,Brooklyn,
11211,Brooklyn,North Side-South Side
11103,Queens,Astoria
10012,Manhattan,
11217,Brooklyn,
10461,Bronx,Van Nest-Morris Park-Westchester Square
11218,Brooklyn,Windsor Terrace
11236,Brooklyn,East New York
11234,Brooklyn,Georgetown-Marine Park-Bergen Beach-Mill Basin
11217,Brooklyn,Fort Greene
10012,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy
10011,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square
11233,Brooklyn,Crown Heights North
10001,Bronx,
11212,Brooklyn,Rugby-Remsen Village
10001,Manhattan,Midtown-Midtown South
10023,Manhattan,Lincoln Square
11370,Queens,Jackson Heights
10024,Manhattan,Upper West Side
10023,Manhattan,Lincoln Square
10021,Manhattan,Lenox Hill-Roosevelt Island
10003,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square
10003,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square
10025,Manhattan,Upper West Side
10035,Bronx,
10035,Bronx,
10014,Manhattan,West Village
11217,Brooklyn,Fort Greene
11377,Queens,Woodside
11208,Brooklyn,Cypress Hills-City Line
10021,Manhattan,
10458,Bronx,Bedford Park-Fordham North
11201,Brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
10018,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square
11412,Queens,
10464,Bronx,park-cemetery-etc-Bronx
10018,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square
10032,Manhattan,Washington Heights South
6705,Bronx,
10013,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy
10012,Manhattan,
11373,Queens,Elmhurst
11359,Queens,Ft. Totten-Bay Terrace-Clearview
11201,Brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
11216,Brooklyn,Crown Heights North
10025,Manhattan,Morningside Heights
10030,Manhattan,Central Harlem North-Polo Grounds
10010,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square
11228,Brooklyn,Dyker Heights
11238,Brooklyn,Crown Heights North
10030,Manhattan,
11226,Brooklyn,Flatbush
11201,Brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
10007,Manhattan,Chinatown
10036,Manhattan,Clinton
10276,Manhattan,
11231,Manhattan,
10014,Manhattan,West Village
11207,Brooklyn,Bushwick South
11247,Brooklyn,
10009,Brooklyn,
11451,Queens,Jamaica
10013,Manhattan,
11222,Manhattan,
11434,Queens,St. Albans
11202,Brooklyn,
10030,Manhattan,Central Harlem North-Polo Grounds
11238,Brooklyn,Clinton Hill
10036,Manhattan,Clinton
10025,Manhattan,Morningside Heights
10013,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy
10025,Manhattan,Upper West Side
10004,Manhattan,Battery Park City-Lower Manhattan
11375,Queens,Forest Hills
11211,Brooklyn,Williamsburg
10021,Manhattan,
10462,Bronx,
11377,Queens,Elmhurst-Maspeth
10012,Manhattan,West Village
11220,Brooklyn,Sunset Park West
11209,Brooklyn,Bay Ridge
10033,Manhattan,Washington Heights South
10007,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy
11104,Manhattan,
10012,Manhattan,West Village
11354,Queens,Flushing
10013,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy
10029,Manhattan,East Harlem South
10009,Queens,
11412,Queens,St. Albans
11218,Brooklyn,Flatbush
10022,Manhattan,Turtle Bay-East Midtown
10036,Manhattan,Clinton
10017,Manhattan,
11217,Brooklyn,Park Slope-Gowanus
11217,Manhattan,
10101,Brooklyn,
10027,Manhattan,Central Harlem South
11101,Bronx,
11235,Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
11235,Brooklyn,Brighton Beach
10003,Brooklyn,
10001,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square
10031,Manhattan,Manhattanville
10019,Manhattan,Midtown-Midtown South
10018,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square
10025,Manhattan,Upper West Side
10463,Bronx,Van Cortlandt Village
10451-9998,Bronx,
10468,Bronx,Van Cortlandt Village
10453,Bronx,University Heights-Morris Heights
10469,Bronx,
10461,Bronx,Van Nest-Morris Park-Westchester Square
10467,Bronx,Norwood
10458,Bronx,Belmont
10451,Bronx,Melrose South-Mott Haven North
10451,Bronx,
10461,Bronx,Pelham Parkway
10456,Bronx,East Concourse-Concourse Village
10468,Bronx,Van Cortlandt Village
10462,Bronx,
10460,Bronx,
10458,Bronx,
10468,Bronx,
10454,Bronx,Mott Haven-Port Morris
10453,Bronx,Mount Hope
11217,Brooklyn,Fort Greene
11202,Brooklyn,
10003,Brooklyn,Windsor Terrace
11201,Brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
11215,Brooklyn,Park Slope-Gowanus
11201,Brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
11231,Brooklyn,Carroll Gardens-Columbia Street-Red Hook
11225,Brooklyn,park-cemetery-etc-Brooklyn
11201,Brooklyn,Brooklyn Heights-Cobble Hill
11215,Brooklyn,Park Slope-Gowanus
11231,Brooklyn,Carroll Gardens-Columbia Street-Red Hook
11213,Brooklyn,Crown Heights North
11230,Brooklyn,Ocean Parkway South
11201,Brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
11202,Brooklyn,
11211,Brooklyn,North Side-South Side
11202,Brooklyn,
11202,Brooklyn,
11201,Brooklyn,Brooklyn Heights-Cobble Hill
11230,Brooklyn,Midwood
11201,Brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
11238,Brooklyn,park-cemetery-etc-Brooklyn
11217,Brooklyn,Fort Greene
11205,Brooklyn,park-cemetery-etc-Brooklyn
11201,Brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
11211,Brooklyn,East Williamsburg
11217,Brooklyn,Park Slope-Gowanus
11222,Brooklyn,Greenpoint
11202,Brooklyn,
11238,Brooklyn,Clinton Hill
11214,Brooklyn,Bensonhurst West
11216,Brooklyn,Crown Heights North
11231,Brooklyn,Carroll Gardens-Columbia Street-Red Hook
11217,Brooklyn,Fort Greene
11201,Brooklyn,Carroll Gardens-Columbia Street-Red Hook
11215,Brooklyn,
11212,Brooklyn,Brownsville
10003,Manhattan,East Village
11222,Bronx,
10036,Manhattan,Clinton
11374,Queens,Forest Hills
11435,Queens,Briarwood-Jamaica Hills
11207,Brooklyn,Cypress Hills-City Line
11237,Brooklyn,Bushwick North
11201,Brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
10019,Manhattan,Clinton
11434,Manhattan,
10016,Manhattan,Midtown-Midtown South
11211,Brooklyn,North Side-South Side
11355,Queens,Flushing
10027,Manhattan,Morningside Heights
10014,Manhattan,West Village
10010,Manhattan,Murray Hill-Kips Bay
11414,Queens,Lindenwood-Howard Beach
10108,Manhattan,
10003,Manhattan,East Village
10314,Staten Island,New Springville-Bloomfield-Travis
10001,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square
11105,Queens,Steinway
10018,Manhattan,Midtown-Midtown South
11370,Queens,Jackson Heights
10013,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy
10018,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square
10034,Brooklyn,Park Slope-Gowanus
10013,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy
11201,Brooklyn,Brooklyn Heights-Cobble Hill
11201,Brooklyn,Brooklyn Heights-Cobble Hill
10004,Manhattan,Battery Park City-Lower Manhattan
10036,Manhattan,Midtown-Midtown South
11412,Queens,St. Albans
11217,Brooklyn,Fort Greene
11420,Queens,
11362,Brooklyn,
10019,Manhattan,Midtown-Midtown South
10075,Manhattan,Lenox Hill-Roosevelt Island
10301,Staten Island,Grymes Hill-Clifton-Fox Hills
10459,Bronx,Hunts Point
10025,Manhattan,Morningside Heights
10022,Bronx,
10025,Manhattan,Upper West Side
11201,Brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
10001,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square
10461,Manhattan,
10024,Manhattan,Upper West Side
10012,Manhattan,West Village
11235,Brooklyn,Brighton Beach
10122,Manhattan,Midtown-Midtown South
10001,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square
11201,Manhattan,
10163,Manhattan,
10075,Manhattan,Upper East Side-Carnegie Hill
10518,Bronx,
10013,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy
10011,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square
11211,Brooklyn,East Williamsburg
10004,Manhattan,Battery Park City-Lower Manhattan
11215,Brooklyn,Park Slope-Gowanus
10036,Manhattan,Midtown-Midtown South
11354,Queens,Flushing
11103,Queens,Astoria
10024,Manhattan,
10304,Staten Island,Stapleton-Rosebank
10128,Manhattan,Upper East Side-Carnegie Hill
10031,Manhattan,Hamilton Heights
10036,Manhattan,
10014,Manhattan,
11411,Queens,
10163,Manhattan,
10001,Manhattan,Midtown-Midtown South
10023,Manhattan,Lincoln Square
10163,Manhattan,Turtle Bay-East Midtown
10023,Manhattan,
10035,Manhattan,
10010,Bronx,
10025,Manhattan,Morningside Heights
10017,Manhattan,Turtle Bay-East Midtown
10004,Manhattan,Battery Park City-Lower Manhattan
10011,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square
10002,Manhattan,Chinatown
10036,Manhattan,
10011,Manhattan,
10011,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square
10014,Manhattan,West Village
10111,Manhattan,Midtown-Midtown South
10036,Manhattan,Midtown-Midtown South
11372,Queens,Jackson Heights
10029,Manhattan,East Harlem South
11216,Brooklyn,Bedford
10010,Manhattan,Gramercy
10031,Manhattan,Hamilton Heights
10033,Manhattan,Washington Heights North
10024,Manhattan,Upper West Side
10014,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy
11365,Manhattan,
10001,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square
10006,Manhattan,Battery Park City-Lower Manhattan
10038,Manhattan,Chinatown
10013,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy
10013,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy
11355,Queens,Flushing
10002,Manhattan,Chinatown
10002,Manhattan,
11354,Queens,
11101,Queens,Hunters Point-Sunnyside-West Maspeth
11358,Queens,Auburndale
11231,Brooklyn,Carroll Gardens-Columbia Street-Red Hook
10013,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy
10011,Manhattan,West Village
10012,Manhattan,West Village
10019,Manhattan,Midtown-Midtown South
11215,Brooklyn,Park Slope-Gowanus
11249,Brooklyn,North Side-South Side
10001,Manhattan,Midtown-Midtown South
10005,Manhattan,Battery Park City-Lower Manhattan
11413,Queens,Springfield Gardens North
10005,Bronx,
10023,Manhattan,Lincoln Square
10031,Manhattan,Manhattanville
10019,Manhattan,Midtown-Midtown South
10464,Bronx,
10464,Bronx,Pelham Bay-Country Club-City Island
10036,Manhattan,Clinton
10003,Manhattan,East Village
10065,Manhattan,park-cemetery-etc-Manhattan
10012,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy
10013,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy
10163,Manhattan,
10013,Manhattan,
11217,Manhattan,
10021,Manhattan,
10010,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square
10003,Brooklyn,Flatbush
10027,Manhattan,
10002,Manhattan,Lower East Side
10022,Brooklyn,Sunset Park West
10019,Manhattan,Clinton
10011,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square
10014,Manhattan,
11214,Brooklyn,Gravesend
10003,Manhattan,West Village
10034,Manhattan,Marble Hill-Inwood
11237,Brooklyn,Bushwick North
11230,Brooklyn,Flatbush
10033,Manhattan,Washington Heights North
11215,Manhattan,
10011,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square
11205,Brooklyn,park-cemetery-etc-Brooklyn
11201,Brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
11222,Manhattan,
10013,Manhattan,
10004,Manhattan,Battery Park City-Lower Manhattan
11210,Brooklyn,
10065,Manhattan,Lenox Hill-Roosevelt Island
11004,Queens,Bellerose
11217,Brooklyn,Fort Greene
11691,Queens,Far Rockaway-Bayswater
10027,Manhattan,Manhattanville
10040,Manhattan,Washington Heights North
10023,Manhattan,Lincoln Square
10004,Manhattan,Battery Park City-Lower Manhattan
10019,Manhattan,
11222,Brooklyn,Greenpoint
10025,Manhattan,Upper West Side
10075,Manhattan,Yorkville
10022-2050,Manhattan,Turtle Bay-East Midtown
10018,Manhattan,Clinton
10034,Manhattan,Marble Hill-Inwood
10003,Manhattan,Gramercy
11224,Brooklyn,Seagate-Coney Island
11224,Brooklyn,Seagate-Coney Island
11224,Brooklyn,Seagate-Coney Island
11224,Brooklyn,Seagate-Coney Island
10307,Staten Island,Charleston-Richmond Valley-Tottenville
10159,Manhattan,
11356,Queens,
10025,Staten Island,
10003,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square
10023,Brooklyn,
10011,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square
10474,Bronx,Hunts Point
10008,Brooklyn,
10002,Manhattan,Chinatown
11217,Brooklyn,Fort Greene
11374,Queens,Forest Hills
10128,Manhattan,Upper East Side-Carnegie Hill
11217,Brooklyn,Fort Greene
11231,Brooklyn,Carroll Gardens-Columbia Street-Red Hook
10030,Manhattan,Central Harlem North-Polo Grounds
10023,Queens,
10036,Manhattan,Clinton
10014,Manhattan,West Village
11230,Brooklyn,Flatbush
10305,Staten Island,
11235,Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
10001,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square
10012,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy
10025,Manhattan,Upper West Side
10017,Manhattan,Murray Hill-Kips Bay
10001,Manhattan,Midtown-Midtown South
10018,Manhattan,Midtown-Midtown South
10012,Manhattan,West Village
10002,Manhattan,Chinatown
10004,Manhattan,Battery Park City-Lower Manhattan
11217,Brooklyn,Fort Greene
10003,Manhattan,East Village
10003,Brooklyn,Park Slope-Gowanus
11213,Brooklyn,Crown Heights South
11213,Brooklyn,Crown Heights North
11225,Brooklyn,Crown Heights North
10009,Manhattan,East Village
10003,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square
10128,Manhattan,Yorkville
10016,Manhattan,Murray Hill-Kips Bay
11432,Queens,
11205,Brooklyn,
10017,Manhattan,Murray Hill-Kips Bay
10012,Manhattan,West Village
10009,Manhattan,Lower East Side
10001,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square
10003,Manhattan,East Village
11216,Brooklyn,Crown Heights North
10014,Manhattan,West Village
10003,Brooklyn,
10036,Manhattan,Clinton
11201,Brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
10031,Manhattan,Hamilton Heights
10035,Manhattan,East Harlem North
11413,Brooklyn,
10024,Manhattan,Upper West Side
10023,Manhattan,Upper West Side
11201,Brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
11201,Brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
10024,Manhattan,Upper West Side
10036,Manhattan,Clinton
10025,Manhattan,Morningside Heights
11101,Queens,Queensbridge-Ravenswood-Long Island City
10004,Manhattan,Battery Park City-Lower Manhattan
11201,Brooklyn,Brooklyn Heights-Cobble Hill
10030,Manhattan,
10007,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy
10038,Manhattan,Battery Park City-Lower Manhattan
10002,Manhattan,Lower East Side
11101,Manhattan,
10032,Manhattan,Washington Heights South
10003,Manhattan,East Village
10003,Manhattan,Gramercy
10031,Manhattan,Hamilton Heights
10011,Manhattan,West Village
10036,Manhattan,Clinton
10004,Manhattan,Battery Park City-Lower Manhattan
10014,Manhattan,
10027,Manhattan,Morningside Heights
11201,Brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
11217,Brooklyn,Park Slope-Gowanus
10019,Manhattan,Midtown-Midtown South
11204,Brooklyn,Bensonhurst West
11360,Queens,Ft. Totten-Bay Terrace-Clearview
10455,Manhattan,
10128,Manhattan,Yorkville
10003,Manhattan,West Village
10009,Manhattan,East Village
10003,Manhattan,
10023,Manhattan,Lincoln Square
11221,Brooklyn,North Side-South Side
10163,Manhattan,
11237,Manhattan,
10012,Manhattan,West Village
10013,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy
11217,Brooklyn,Fort Greene
10028,Manhattan,
10011,Manhattan,West Village
10003,Manhattan,East Village
10011,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square
10022,Manhattan,Turtle Bay-East Midtown
11205,Brooklyn,park-cemetery-etc-Brooklyn
10128,Manhattan,Upper East Side-Carnegie Hill
11433,Queens,South Jamaica
10016,Manhattan,Murray Hill-Kips Bay
10009,Manhattan,Lower East Side
11217,Brooklyn,Fort Greene
11220,Brooklyn,Sunset Park West
10012,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy
10472,Bronx,West Farms-Bronx River
10276,Manhattan,
10023,Manhattan,Lincoln Square
10025,Manhattan,Morningside Heights
10023,Manhattan,
10101,Manhattan,
11101,Queens,Hunters Point-Sunnyside-West Maspeth
10036,Manhattan,Clinton
10033,Manhattan,Washington Heights North
11363,Queens,
10013,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy
10274,Manhattan,
10003,Manhattan,East Village
11215,Brooklyn,
10003,Brooklyn,Windsor Terrace
10013,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy
10003,Manhattan,East Village
11217,Brooklyn,Park Slope-Gowanus
11101,Bronx,
10013,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy
10013,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy
10163,Manhattan,
10475,Bronx,
10013,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy
10456,Bronx,Morrisania-Melrose
10024,Manhattan,Upper West Side
11434,Queens,
11215,Brooklyn,Park Slope-Gowanus
11221,Brooklyn,Stuyvesant Heights
10034,Manhattan,Marble Hill-Inwood
10002,Manhattan,Lower East Side
10001,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square
10003,Manhattan,West Village
11217,Brooklyn,Fort Greene
11222,Brooklyn,
11104,Queens,
10023,Manhattan,Lincoln Square
